[2025-06-13 22:15:38] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 316, Y= 119, Z= 608
[2025-06-13 22:15:56] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 336, Y= 114, Z= 593
[2025-06-13 22:15:56] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 336, Y= 114, Z= 592
[2025-06-13 22:15:57] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 337, Y= 114, Z= 591
[2025-06-13 22:15:58] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 334, Y= 116, Z= 593
[2025-06-13 22:15:58] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 332, Y= 117, Z= 593
[2025-06-13 22:15:59] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 331, Y= 118, Z= 594
[2025-06-13 22:15:59] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 331, Y= 118, Z= 593
[2025-06-13 22:15:59] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 329, Y= 118, Z= 592
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 325, Y= 119, Z= 591
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke POPPY at X= 327, Y= 119, Z= 590
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 328, Y= 119, Z= 590
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke POPPY at X= 327, Y= 119, Z= 588
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 326, Y= 119, Z= 588
[2025-06-13 22:16:00] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 325, Y= 119, Z= 588
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke POPPY at X= 325, Y= 119, Z= 589
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 323, Y= 119, Z= 590
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 323, Y= 119, Z= 591
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 322, Y= 119, Z= 591
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 322, Y= 119, Z= 592
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 320, Y= 119, Z= 591
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 322, Y= 119, Z= 590
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 322, Y= 119, Z= 589
[2025-06-13 22:16:02] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 320, Y= 119, Z= 589
[2025-06-13 22:16:02] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 320, Y= 120, Z= 590
[2025-06-13 22:16:02] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 319, Y= 120, Z= 593
[2025-06-13 22:16:02] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 318, Y= 119, Z= 595
[2025-06-13 22:16:03] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 317, Y= 121, Z= 592
[2025-06-13 22:16:03] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 317, Y= 121, Z= 593
[2025-06-13 22:16:03] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 317, Y= 120, Z= 595
[2025-06-13 22:16:04] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 315, Y= 120, Z= 596
[2025-06-13 22:16:04] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 313, Y= 120, Z= 597
[2025-06-13 22:16:04] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 313, Y= 120, Z= 596
[2025-06-13 22:16:05] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 311, Y= 120, Z= 596
[2025-06-13 22:16:05] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 308, Y= 120, Z= 597
[2025-06-13 22:16:05] [Hardcore_world] The Player <Chesvin1> has broke POPPY at X= 308, Y= 120, Z= 596
[2025-06-13 22:16:05] [Hardcore_world] The Player <Chesvin1> has broke TALL_GRASS at X= 311, Y= 121, Z= 595
[2025-06-13 22:16:18] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 329, Y= 113, Z= 635
[2025-06-13 22:16:18] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 333, Y= 114, Z= 633
[2025-06-13 22:16:19] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 334, Y= 114, Z= 632
[2025-06-13 22:16:19] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 335, Y= 115, Z= 631
[2025-06-13 22:16:20] [Hardcore_world] The Player <Chesvin1> has broke SHORT_GRASS at X= 337, Y= 116, Z= 629
[2025-06-13 22:16:28] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LEAVES at X= 363, Y= 105, Z= 619
[2025-06-13 22:16:29] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LEAVES at X= 364, Y= 105, Z= 619
[2025-06-13 22:16:30] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LEAVES at X= 364, Y= 104, Z= 619
[2025-06-13 22:17:09] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LEAVES at X= 520, Y= 107, Z= 610
[2025-06-13 22:17:09] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LEAVES at X= 520, Y= 107, Z= 611
[2025-06-13 22:17:31] [Hardcore_world] The Player <Chesvin1> has broke GRAVEL at X= 555, Y= 53, Z= 614
[2025-06-13 22:17:36] [Hardcore_world] The Player <Chesvin1> has broke GRAVEL at X= 556, Y= 52, Z= 614
[2025-06-13 22:17:49] [Hardcore_world] The Player <Chesvin1> has broke GRAVEL at X= 558, Y= 53, Z= 615
[2025-06-13 22:18:07] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LOG at X= 544, Y= 66, Z= 624
[2025-06-13 22:18:10] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LOG at X= 544, Y= 65, Z= 624
[2025-06-13 22:18:13] [Hardcore_world] The Player <Chesvin1> has broke BIRCH_LOG at X= 544, Y= 67, Z= 624
