[2025-06-13 22:15:29] [Hardcore_world] The Player <Chesvin1> has picked 1 of SUSPICIOUS_STEW at X= -672, Y= 63, Z= 465 that had [] enchantment(s) | §eSuspicious Meat
[2025-06-13 22:15:57] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 337, Y= 114, Z= 591 that had [] enchantment(s) | 
[2025-06-13 22:15:59] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 332, Y= 117, Z= 593 that had [] enchantment(s) | 
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has picked 1 of POPPY at X= 327, Y= 119, Z= 591 that had [] enchantment(s) | 
[2025-06-13 22:16:01] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 323, Y= 119, Z= 591 that had [] enchantment(s) | 
[2025-06-13 22:16:02] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 319, Y= 120, Z= 591 that had [] enchantment(s) | 
[2025-06-13 22:16:04] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 314, Y= 120, Z= 596 that had [] enchantment(s) | 
[2025-06-13 22:16:06] [Hardcore_world] The Player <Chesvin1> has picked 1 of WHEAT_SEEDS at X= 310, Y= 120, Z= 597 that had [] enchantment(s) | 
[2025-06-13 22:16:10] [Hardcore_world] The Player <Chesvin1> has picked 1 of POPPY at X= 307, Y= 120, Z= 597 that had [] enchantment(s) | 
[2025-06-13 22:16:31] [Hardcore_world] The Player <Chesvin1> has picked 1 of STICK at X= 362, Y= 103, Z= 619 that had [] enchantment(s) | 
[2025-06-13 22:17:40] [Hardcore_world] The Player <Chesvin1> has picked 1 of FLINT at X= 558, Y= 62, Z= 616 that had [] enchantment(s) | 
[2025-06-13 22:17:50] [Hardcore_world] The Player <Chesvin1> has picked 1 of FLINT at X= 558, Y= 53, Z= 615 that had [] enchantment(s) | 
[2025-06-13 22:18:09] [Hardcore_world] The Player <Chesvin1> has picked 1 of BIRCH_LOG at X= 544, Y= 66, Z= 624 that had [] enchantment(s) | 
[2025-06-13 22:18:11] [Hardcore_world] The Player <Chesvin1> has picked 1 of BIRCH_LOG at X= 544, Y= 65, Z= 625 that had [] enchantment(s) | 
[2025-06-13 22:18:14] [Hardcore_world] The Player <Chesvin1> has picked 1 of BIRCH_LOG at X= 544, Y= 67, Z= 624 that had [] enchantment(s) | 
[2025-06-13 22:18:24] [Hardcore_world] The Player <Chesvin1> has picked 1 of WOODEN_AXE at X= -668, Y= 63, Z= 469 that had [] enchantment(s) | Hatchet
[2025-06-13 22:20:15] [Hardcore_world] The Player <Chesvin1> has picked 1 of WOODEN_AXE at X= -669, Y= 63, Z= 470 that had [] enchantment(s) | Hatchet
